indoor,outdoor,preferredHumidity,plantDescription,plantName,scientificName,plantType,flowering,averageLeafSize,plantFamily,plantLifespan,averagePlantWidth,preferredTemperature,preferredHumidity_inwords,waterSchedule,waterFrequency,waterQuantity
TRUE,FALSE,18-27%,The Peace Lily is a popular indoor plant known for its elegant white blooms and lush green leaves. It thrives in shaded areas and requires regular watering to keep the soil consistently moist.,Peace Lily,Spathiphyllum spp.,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,21-30%,Lavender is a fragrant herb with beautiful purple flowers. It prefers full sunlight and well-drained soil. Lavender is often used for its soothing aroma and medicinal properties.,Lavender,Lavandula spp.,Herb,TRUE,Small,Lamiaceae,Perennial,1-3 feet,21-27°C (70-80°F),Low to moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,16-26%,"Spider plants are easy-to-care-for indoor plants known for their air-purifying properties. They have long, arching leaves and produce small white flowers.",Spider Plant,Chlorophytum comosum,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,13-23%,"The Snake Plant, also known as Mother-in-law's Tongue, is a popular indoor plant with long, upright leaves. It's known for its ability to purify air and tolerate low light conditions.",Snake Plant,Sansevieria trifasciata,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,16-24°C (60-75°F),High,Bi-weekly,Once every two weeks,Moderate
FALSE,TRUE,18-35%,"Sunflowers are tall, annual plants with large, bright yellow flowers that follow the movement of the sun. They thrive in full sunlight and well-drained soil.",Sunflower,Helianthus annuus,Flowering,TRUE,Large,Asteraceae,Annual,1-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,22-29%,"The ZZ Plant is a hardy indoor plant with glossy, dark green leaves. It's tolerant of low light conditions and infrequent watering, making it an ideal choice for beginners.",ZZ Plant,Zamioculcas zamiifolia,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,17-32%,"The Rubber Plant is a popular indoor plant with large, glossy leaves. It requires bright, indirect light and regular watering to thrive.",Rubber Plant,Ficus elastica,Foliage,TRUE,Large,Moraceae,Perennial,1-3 feet,18-27°C (65-80°F),Moderate,Weekly,Once a week,Moderate
FALSE,TRUE,19-33%,Tomatoes are popular garden plants grown for their edible fruit. They require full sunlight and regular watering to produce a bountiful harvest.,Tomato,Solanum lycopersicum,Vegetable,TRUE,Medium,Solanaceae,Annual,1-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,15-28%,"The Pothos plant, also known as Devil's Ivy, is a popular indoor plant with trailing vines and heart-shaped leaves. It's easy to care for and thrives in various light conditions.",Pothos,Epipremnum aureum,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
FALSE,TRUE,12-31%,Marigolds are vibrant annual flowers that bloom in shades of yellow and orange. They prefer full sunlight and well-drained soil.,Marigold,Tagetes spp.,Flowering,TRUE,Small,Asteraceae,Annual,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,23-34%,"The Aloe Vera plant is a succulent with thick, fleshy leaves that contain a gel-like substance with various medicinal properties. It prefers bright, indirect light and infrequent watering.",Aloe Vera,Aloe vera,Succulent,TRUE,Medium,Asphodelaceae,Perennial,1-2 feet,21-27°C (70-80°F),Moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,20-29%,"The Boston Fern is a classic indoor plant with graceful, arching fronds. It thrives in high humidity and indirect light.",Boston Fern,Nephrolepis exaltata,Foliage,TRUE,Large,Nephrolepidaceae,Perennial,1-3 feet,18-24°C (65-75°F),Moderate to high,Weekly,Once a week,Moderate
FALSE,TRUE,14-30%,Roses are beloved flowering plants known for their fragrant blooms. They prefer full sunlight and well-drained soil.,Rose,Rosa spp.,Flowering,TRUE,Medium,Rosaceae,Perennial,2-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,11-24%,"The Bird of Paradise is an exotic indoor plant with large, banana-like leaves and colorful flowers. It requires bright, indirect light and high humidity to thrive.",Bird of Paradise,Strelitzia reginae,Foliage,TRUE,Large,Strelitziaceae,Perennial,2-4 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,24-37%,Cacti are succulent plants adapted to arid environments. They come in various shapes and sizes and require minimal watering.,Cactus,Cactaceae,Succulent,TRUE,Small,Cactaceae,Perennial,1-2 feet,21-27°C (70-80°F),Low to moderate,Monthly,Once a month,Light
TRUE,FALSE,10-29%,"The Fiddle Leaf Fig is a trendy indoor plant with large, violin-shaped leaves. It requires bright, indirect light and regular watering to prevent root rot.",Fiddle Leaf Fig,Ficus lyrata,Foliage,TRUE,Large,Moraceae,Perennial,1-3 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,25-36%,"Lilies are elegant flowering plants with large, trumpet-shaped blooms. They prefer full sunlight and well-drained soil.",Lily,Lilium spp.,Flowering,TRUE,Medium,Liliaceae,Perennial,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,11-26%,"The Monstera plant, also known as the Swiss Cheese Plant, is a popular indoor plant with large, perforated leaves. It requires bright, indirect light and regular watering.",Monstera,Monstera deliciosa,Foliage,TRUE,Large,Araceae,Perennial,2-3 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,14-33%,Tulips are colorful spring-blooming flowers with cup-shaped blooms. They prefer full sunlight and well-drained soil.,Tulip,Tulipa spp.,Flowering,TRUE,Medium,Liliaceae,Perennial,1-2 feet,10-20°C (50-68°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,12-34%,"Orchids are elegant flowering plants known for their exotic blooms. They require bright, indirect light and high humidity to thrive.",Orchid,Orchidaceae,Flowering,TRUE,Medium,Orchidaceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,15-32%,"Daisies are cheerful, low-growing flowers with white petals and yellow centers. They prefer full sunlight and well-drained soil.",Daisy,Bellis perennis,Flowering,TRUE,Small,Asteraceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,10-25%,"The Philodendron plant is a popular indoor plant with heart-shaped leaves. It requires bright, indirect light and regular watering to thrive.",Philodendron,Philodendron spp.,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,13-31%,"Peonies are fragrant, spring-blooming flowers with large, ruffled blooms. They prefer full sunlight and well-drained soil.",Peony,Paeonia spp.,Flowering,TRUE,Large,Paeoniaceae,Perennial,2-3 feet,10-20°C (50-68°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,17-36%,"The English Ivy is a classic trailing vine with small, lobed leaves. It's often grown as a houseplant but can also be used as ground cover outdoors.",English Ivy,Hedera helix,Foliage,TRUE,Small,Araliaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,16-29%,"Geraniums are colorful annual flowers that bloom in shades of red, pink, and white. They prefer full sunlight and well-drained soil.",Geranium,Pelargonium spp.,Flowering,TRUE,Medium,Geraniaceae,Annual,1-2 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,10-22%,"The Chinese Evergreen is a low-maintenance indoor plant with attractive, variegated leaves. It's tolerant of low light conditions and infrequent watering.",Chinese Evergreen,Aglaonema spp.,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate to high,Bi-weekly,Once every two weeks,Light
FALSE,TRUE,26-37%,Daffodils are cheerful spring-blooming flowers with trumpet-shaped blooms. They prefer full sunlight and well-drained soil.,Daffodil,Narcissus spp.,Flowering,TRUE,Medium,Amaryllidaceae,Perennial,1-2 feet,10-20°C (50-68°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,12-28%,"The Majesty Palm is a tropical indoor plant with feathery, arching fronds. It requires bright, indirect light and high humidity to thrive.",Majesty Palm,Ravenea rivularis,Foliage,TRUE,Large,Arecaceae,Perennial,2-3 feet,21-27°C (70-80°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,13-27%,"Poppies are colorful, annual flowers with delicate, papery blooms. They prefer full sunlight and well-drained soil.",Poppy,Papaver spp.,Flowering,TRUE,Small,Papaveraceae,Annual,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,10-23%,"The Parlor Palm is a compact indoor palm with delicate, feathery fronds. It's tolerant of low light conditions and infrequent watering.",Parlor Palm,Chamaedorea elegans,Foliage,TRUE,Small,Arecaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Bi-weekly,Once every two weeks,Light
FALSE,TRUE,20-34%,"Hydrangeas are popular garden shrubs known for their large, showy flower heads. They prefer partial shade and moist, well-drained soil.",Hydrangea,Hydrangea spp.,Flowering,TRUE,Medium,Hydrangeaceae,Perennial,2-3 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,11-30%,"The Areca Palm is a graceful indoor palm with feathery, arching fronds. It requires bright, indirect light and high humidity to thrive.",Areca Palm,Dypsis lutescens,Foliage,TRUE,Large,Arecaceae,Perennial,2-3 feet,21-27°C (70-80°F),Moderate to high,Weekly,Once a week,Moderate
FALSE,TRUE,14-28%,"Snapdragons are colorful annual flowers with distinctive, snap-like blooms. They prefer full sunlight and well-drained soil.",Snapdragon,Antirrhinum majus,Flowering,TRUE,Medium,Plantaginaceae,Annual,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,17-33%,"The Croton plant is a colorful indoor plant with leathery, variegated leaves. It requires bright, indirect light and regular watering to thrive.",Croton,Codiaeum variegatum,Foliage,TRUE,Medium,Euphorbiaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,21-36%,"Dahlias are colorful, summer-blooming flowers with intricate, daisy-like blooms. They prefer full sunlight and well-drained soil.",Dahlia,Dahlia spp.,Flowering,TRUE,Medium,Asteraceae,Perennial,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,10-22%,"The Cast Iron Plant is a hardy indoor plant with dark green, lance-shaped leaves. It's tolerant of low light conditions and infrequent watering.",Cast Iron Plant,Aspidistra elatior,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,16-24°C (60-75°F),High,Bi-weekly,Once every two weeks,Moderate
FALSE,TRUE,16-31%,Peppers are popular garden plants grown for their edible fruits. They require full sunlight and regular watering to produce a bountiful harvest.,Pepper,Capsicum spp.,Vegetable,TRUE,Medium,Solanaceae,Annual,1-3 feet,18-27°C (65-80°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,18-29%,"The English Ivy is a classic trailing vine with small, lobed leaves. It's often grown as a houseplant but can also be used as ground cover outdoors.",English Ivy,Hedera helix,Foliage,TRUE,Small,Araliaceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,14-27%,Basil is a fragrant herb commonly used in cooking. It prefers full sunlight and well-drained soil.,Basil,Ocimum basilicum,Herb,TRUE,Small,Lamiaceae,Annual,1-2 feet,21-27°C (70-80°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,18-32%,"The Snake Plant, also known as Mother-in-Law's Tongue, is a hardy indoor plant with stiff, upright leaves. It's tolerant of low light conditions and infrequent watering.",Snake Plant,Sansevieria trifasciata,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Monthly,Once a month,Light
FALSE,TRUE,15-28%,Lavender is a fragrant herb known for its soothing aroma and medicinal properties. It prefers full sunlight and well-drained soil.,Lavender,Lavandula spp.,Herb,TRUE,Small,Lamiaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,18-30%,"The ZZ Plant is a low-maintenance indoor plant with glossy, dark green leaves. It's tolerant of low light conditions and infrequent watering.",ZZ Plant,Zamioculcas zamiifolia,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate,Monthly,Once a month,Light
FALSE,TRUE,19-31%,Tomatoes are popular garden plants grown for their edible fruits. They require full sunlight and regular watering to produce a bountiful harvest.,Tomato,Solanum lycopersicum,Vegetable,TRUE,Medium,Solanaceae,Annual,1-3 feet,18-27°C (65-80°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,20-34%,"The Rubber Plant is a popular indoor plant with large, glossy leaves. It requires bright, indirect light and regular watering to thrive.",Rubber Plant,Ficus elastica,Foliage,TRUE,Large,Moraceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,13-32%,"Sunflowers are cheerful, summer-blooming flowers with large, daisy-like blooms. They prefer full sunlight and well-drained soil.",Sunflower,Helianthus annuus,Flowering,TRUE,Large,Asteraceae,Annual,1-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,15-28%,"The Peace Lily is a popular indoor plant with glossy, dark green leaves and white flowers. It requires bright, indirect light and high humidity to thrive.",Peace Lily,Spathiphyllum spp.,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,18-35%,"Roses are classic, fragrant flowers known for their elegant blooms. They prefer full sunlight and well-drained soil.",Rose,Rosa spp.,Flowering,TRUE,Medium,Rosaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,22-38%,"The Pothos plant is a popular indoor plant with heart-shaped leaves. It requires bright, indirect light and regular watering to thrive.",Pothos,Epipremnum aureum,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Weekly,Once a week,Moderate
FALSE,TRUE,11-25%,"Marigolds are cheerful, summer-blooming flowers with colorful, daisy-like blooms. They prefer full sunlight and well-drained soil.",Marigold,Tagetes spp.,Flowering,TRUE,Small,Asteraceae,Annual,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,17-36%,"The Boston Fern is a popular indoor fern with arching fronds. It requires bright, indirect light and high humidity to thrive.",Boston Fern,Nephrolepis exaltata,Foliage,TRUE,Medium,Nephrolepidaceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,19-30%,"Pansies are colorful, cool-season flowers with distinctive, heart-shaped blooms. They prefer full sunlight and well-drained soil.",Pansy,Viola tricolor,Flowering,TRUE,Small,Violaceae,Annual,1-2 feet,10-20°C (50-68°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,16-29%,"The Aloe Vera plant is a popular indoor succulent known for its medicinal properties. It requires bright, indirect light and infrequent watering to thrive.",Aloe Vera,Aloe vera,Succulent,TRUE,Large,Asphodelaceae,Perennial,1-2 feet,21-27°C (70-80°F),Low to moderate,Bi-weekly,Once every two weeks,Light
FALSE,TRUE,19-33%,"Lilacs are fragrant spring-blooming shrubs with clusters of small, tubular blooms. They prefer full sunlight and well-drained soil.",Lilac,Syringa vulgaris,Flowering,TRUE,Medium,Oleaceae,Perennial,2-3 feet,10-20°C (50-68°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,17-31%,"The Spider Plant is a popular indoor plant with arching, variegated leaves. It's tolerant of low light conditions and infrequent watering.",Spider Plant,Chlorophytum comosum,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Bi-weekly,Once every two weeks,Light
FALSE,TRUE,20-32%,"Zinnias are colorful, summer-blooming flowers with daisy-like blooms. They prefer full sunlight and well-drained soil.",Zinnia,Zinnia spp.,Flowering,TRUE,Small,Asteraceae,Annual,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
